entidad	instancia_de	subclase_de
Universidad de Notre Dame	universidad católica, universidad privada, institución educativa privada sin fines de lucro, editor de acceso abierto, editorial académica	
Chongos Bajo	villa	
Universidad Cornell	Universidad de concesión de tierras, universidad privada, sun grant institution, universidad de investigación, institución educativa privada sin fines de lucro	
Ica	ciudad, gran ciudad	
periodista	profesión, cargo, ocupación, grupo de ocupaciones de la CIUO	autor, profesional de medios, ocupación mediática, authors, journalists and linguists
pintor	profesión, Q778000	trabajador de la construcción, menestral
karateca	profesión, ocupación	artista marcial
físico de partículas	profesión	físico
Estados Unidos	país, república federal, superpotencia internacional, república constitucional, estado soberano, república democrática	
Universidad de Princeton	universidad privada, Colegios coloniales, universidad de investigación, institución educativa privada sin fines de lucro, editorial académica	
Lawrence Berkeley National Laboratory	laboratorio, United States national laboratory	
Distrito de Coasa	distrito de Perú	
Retrato de campesinos en Cusco	fotografía	
Cuba	país, país insular, Estado unitario, Estado comunista, estado soberano	
Trujillo	estado de Venezuela	
Conservatorio Real de Escocia	conservatorio de música, editor de acceso abierto	
Sindicato de Actores	sindicato de trabajadores	
árbitro de fútbol	profesión	árbitro, oficial del partido, person associated with football
psiquiatra	profesión, cargo	médico especialista, profesional de la salud mental
Orden de las Palmas Magisteriales	orden	
Distrito de Castilla	distrito de Perú	
Instituto del Hemisferio Occidental para la Cooperación en Seguridad	escuela, escuela militar	
presidente del Perú	cargo público	presidente de la Republica, jefe del Gobierno
Mollendo	ciudad	
Universidad Nacional de San Cristóbal de Huamanga	universidad pública	
Puno	ciudad, gran ciudad	
México	asentamiento	
Cusco	grupo musical	
monarca	título nobiliario, cargo	soberano
emperador	profesión, título nobiliario, cargo	monarca
Ayacucho	página de desambiguación de Wikimedia	
Pedro Gárezon	ser humano	
Jaime Duarte	ser humano	
Jonathan Maicelo	ser humano	
Óscar Ramírez Durand	ser humano	
Iván Santillán	ser humano	
Néstor Cerpa	ser humano	
Hernán Rengifo	ser humano	
Antonio Gálvez Ronceros	ser humano	
Alberto Denegri	ser humano	
Jaime Yoshiyama	ser humano	
José de La Mar	ser humano	
Isabel Sabogal	ser humano	
Antonio Arenas	ser humano	
Antonio Cornejo Polar	ser humano	
Alfonso Yáñez Ramírez	ser humano	
Antonio Máro	ser humano	
Antonio de Vinatea	ser humano	
Camarada Artemio	ser humano	
Juan Diego GonzalesVigil	ser humano	
Claudia Ortiz de Zevallos	ser humano	
oficial naval	profesión, profesión militar, ocupación marítima	oficial militar, personal de la Armada
boxeador	profesión	deportista, artista marcial
Departamento de Arequipa	departmento del Perú	
Talara	ciudad	
Movimiento Revolucionario Túpac Amaru	organización política, organización terrorista	
Chachapoyas	página de desambiguación de Wikimedia	
El Carmen	villa, comuna de Chile	
Premio Casa de la Literatura Peruana	premio literario	
Huancayo	ciudad, gran ciudad	
Escuela de Gobierno John F. Kennedy	escuela privada, escuela de política pública	
presidente del Congreso de la República del Perú	cargo público, cargo	presidente del parlamento, congresista del Perú
Cuenca	municipio de España	
