entidad	instancia_de	subclase_de
Primetime Emmy al mejor actor de reparto - Serie de comedia	premio al mejor actor de reparto	
Jamil Mahuad	ser humano	
Gustavo Noboa	ser humano	
León Febres-Cordero Ribadeneyra	ser humano	
Raúl Guerrón	ser humano	
Alfonso Obregón Cancino	ser humano	
Antonio José González Zumárraga	ser humano	
Christian Mora	ser humano	
Enrique Gámez	ser humano	
Alberto Enríquez Gallo	ser humano	
Fander Falconí	ser humano	
Mariana de Jesús	ser humano	
Ileana Espinel	ser humano	
Augusto Barrera	ser humano	
María Fernanda Espinosa	ser humano	
Violeta Luna	ser humano	
Nina Pacari	ser humano	
Ana Cecilia Blum	ser humano	
Humberto Cholango	ser humano	
Ariruma Kowii	ser humano	
Christian Noboa	ser humano	
Estados Unidos	país, república federal, superpotencia internacional, república constitucional, estado soberano, república democrática	
Pontificia Universidad Católica del Ecuador	universidad, organización, universidad católica, universidad pontificia, editor de acceso abierto, universidad jesuita	
Atuntaqui	ciudad	
Portoviejo	ciudad de Ecuador	
Universidad Pontificia de Salamanca	universidad privada, universidad pontificia, editor de acceso abierto	
cardenal	título, cargo, vocación católica	príncipe, clérigo católico
Vinces	ciudad	
Latacunga	ciudad	
presidente	apellido	
ministro de Educación	cargo público, cargo	ministro
catequista	ocupación religiosa	profesor, catechist
Alcalde Metropolitano de Quito	cargo	alcalde
Salamanca	municipio de España	
Facultad Latinoamericana de Ciencias Sociales	instituto de investigación, facultad universitaria	
Organización de las Naciones Unidas	organización intergubernamental, organización internacional	
Premio Jorge Carrera Andrade	premio literario	
Cantón Cotacachi	cantón de Ecuador	
juez	propiedad de Wikidata relacionada con el derecho y la justicia	
Cantón Cayambe	cantón de Ecuador	
Universidad Carlos III de Madrid	universidad, organización, universidad pública, editor de acceso abierto	
Pichincha	provincia de Ecuador	
Germán Rodrigo Bastidas Vaca	ser humano	
Gilmar Gutiérrez	ser humano	
Papá Roncón	ser humano	
Manuel de Ascasubi y Matheu	ser humano	
Álex Quiñónez	ser humano	
Horacio Hidrovo Peñaherrera	ser humano	
Hugo Cifuentes	ser humano	
Jenny Estrada	ser humano	
Jorge Arroyo	ser humano	
Jorge Orellana	ser humano	
José Ramón Barreto	ser humano	
Juan Benigno Vela	ser humano	
Juan Manuel Guayasamin	ser humano	
Leonardo Valencia	ser humano	
Luis Aurelio Coloma	ser humano	
Luis Sodiro	ser humano	
Manuela Cañizares	ser humano	
Maria-Rosa Rodriguez	ser humano	
Isaac Mina	ser humano	
María Eugenia Guzmán	ser humano	
biólogo	profesión	científico
Tena	página de desambiguación de Wikimedia	
cantante	grupo de ocupaciones de la CIUO, ocupación en la música	músico, creative and performing artist
Cantón Santa Ana	cantón de Ecuador	
fotógrafo	ocupación, agente	artista visual
Academia Nacional de Historia de Ecuador	academia	
halterófilo	ocupación	atleta de fuerza
árbitro de fútbol	profesión	árbitro, oficial del partido, person associated with football
Caracas	ciudad, capital federal, gran ciudad, ciudad más grande	
Venezuela	país, estado soberano	
RCTV	emisora de televisión	
zoólogo	profesión, cargo	biólogo
Universidad San Francisco de Quito	universidad, editor de acceso abierto	
Guaranda	ciudad	
Cornedo Vicentino	comuna de Italia	
recolector de plantas	ocupación	recolector científico
Franklin Salas	ser humano	
Carlos Julio Arosemena Monroy	ser humano	
Jorge Guagua	ser humano	
Guillermo Rodríguez Lara	ser humano	
Isidro Ayora	ser humano	
Byron Moreno	ser humano	
Alfredo Poveda	ser humano	
Eduardo Kingman	ser humano	
Assad Bucaram	ser humano	
Rodrigo Borja Cevallos	ser humano	
Fernando Guerrero Vásquez	ser humano	
Ángel Cheme	ser humano	
Lorenza Avemanay	ser humano	
Wellington Sánchez	ser humano	
Carlos María de la Torre	ser humano	
Augusto Batioja	ser humano	
Bernardino Echeverría Ruiz	ser humano	
Christian Lescano	ser humano	
Fabián Alarcón	ser humano	
Osvaldo Hurtado Larrea	ser humano	
Cantón San Miguel de Los Bancos	cantón de Ecuador	
Pujilí	ciudad	
militar	profesión, ocupación	empleado, guerrero
Instituto del Hemisferio Occidental para la Cooperación en Seguridad	escuela, escuela militar	
Gran Cruz de la Orden de Isabel la Católica	grado de una orden	Gran Cruz
comentarista deportivo	profesión	presentador de televisión, locutor, comentarista, escritor deportivo, personalidad del deporte
Píllaro	ciudad	
Cantón Portovelo	cantón de Ecuador	
pintor	profesión, Q778000	trabajador de la construcción, menestral
Premio Eugenio Espejo	premio de cultura	
Muisne	ciudad, parroquia de Ecuador	
Cebadas	parroquia de Ecuador	
curandero	ocupación	sanador
Imbabura	provincia de Ecuador	
Universidad de Nuevo México	institución educativa pública de los Estados Unidos, editor de acceso abierto, universidad pública de investigación	
Joao Rojas	ser humano	
Luis Enrique Orellana Ricaurte	ser humano	
Óscar Bagüi	ser humano	
Máximo Banguera	ser humano	
David Quiroz	ser humano	
